earlier, 아까
dentist, 치과의사
psychiatrist, 정신과의사
ticket, 표
soy sauce, 간장
contact, 연락
audience, 관객
celebrity, 연예인
secretary, 비서
weak, 약하다
flag, 국기
lecture, 강연
furniture, 가구
printer, 프린터
meeting, 미팅
excuse, 변명
wrinkle, 주름
garlic, 마늘
semester, 학기
sensitive, 민감한
joints, 뼈마디
brain, 뇌
autograph, 사인
desert, 사막
bones, 뼈
bike, 자전거
bicycle, 자전거
knife, 칼
fork, 포크
lotion, 로션
spoon, 스푼
ladle, 국자
desk, 책상
bat, 박쥐
bracelet, 팔찌
train, 기차
airplane, 비행기
doll, 인형
bird, 새
monkey, 원숭이
whale, 고래
boat, 보트
yacht, 야트
sea horse, 해마
starfish, 불가사리
jellyfish, 해파리
octopus, 낙지
squid, 오징어
sand, 모래
clam, 조개
bowl, 사발
college, 컬리지
university, 대학교
restaurant , 레스토랑
tea, 차
milk, 우유
breakfast, 아침
lunch, 점심
dinner, 저녁
food, 음식
snack, 스낵
soda, 소다
surprise, 놀라다
hug, 포옹
kiss, 키스
candle, 양초
glasses, 안경
grass, 잔디
glass, 잔디
condo, 콘도
apartment, 아파트
fabric, 천
roof, 지붕
neck tie, 넥타이
kimchi, 김치
cabbage, 양배추
plants, 식물
pineapple, 파인애플
grape, 포도
cantaloupe, 캔털로프
kiwi, 키위
popcorn, 팝콘
corn, 옥수수
medication, 약
syringe, 주사기
bandage, 밴드
anesthesia, 마취
blood, 피
kidney, 신장
heart, 심장
abdomen, 배
butt, 엉덩이
lungs, 폐
wallet, 지갑
pulse, 맥박
blind, 맹인
dumb, 벙어리
deaf, 귀머거리
jeans, 청바지
boots, 부츠
what, 무엇
where, 어디
when, 언제
how, 어떻게
why, 왜
really, 진짜
exam, 시험
professor, 교수
chalk board, 칠판
chalk, 분필
white board, 화이트보드
marker, 마커
eraser, 지우개
rice, 쌀
rice cooker, 밥솥
oven, 오븐
stove, 스토브
makeup, 메이크업
yawn, 하품
blanket, 이불
pillow, 베게
bed, 침대
heater, 히터
shampoo, 샴푸
conditioner, 린스
body wash, 바디워시
razor, 면도기
hair, 머리카락
salon, 미용실
calculator, 계산기
biology, 생물학
nursing, 간호
scholar, 학자
washing machine, 세탁기
dryer, 드라이어
mailbox, 우편함
freckle, 주근깨
flour, 밀가루
stand, 일어서다
memo, 메모
south pole, 남극
north pole, 북극
canada, 캐나다
wine, 와인
beer, 맥주
sausage, 소시지
pot, 냄비
coaster, 컵받침
nostril, 콧구멍
year, 년도
new year, 새해
dawn, 새벽
dusk, 새벽
dust, 먼지
sad, 슬픈
sweet, 달콤한
eel, 장 어
phone, 전화
eyebrow, 눈썹
larva,  애벌레
lava, 용암
mountain, 산
sunflower, 해바라기
humid, 습한
cold, 추위
ice, 얼음
cookie, 쿠키
mahogany, 마호가니
wood, 나무
cardboard, 골판지
news, 뉴스
hold, 보류
exit, 출구
hate, 싫어
shop, 가게
choose, 선택
birth, 출생
birthday, 생일
lab, 실험실
chemical, 화학
iron, 철
rose, 장미
in, 에서
mix, 믹스
text, 텍스트
result, 결과
more, 더많은
keep, 계속
chain, 체인
bronze, 청동
gold, 골드
shooting star, 유성
saturn, 토성
jupiter, 목성
planet, 행성
venus, 금성
earth, 지구
mars, 화성
uranus, 천왕성
neptune, 해왕성
